                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.87335,                  1.194,                 1.3938,                  0.856,                0.83137,                0.90284,                 0.6672,                 0.9038,                0.75568,                 1.4957,              0.0091684,              0.0091684,              0.0091684
                     86,                0.86855,                 1.2042,                 1.3808,                0.85688,                0.85204,                0.90576,                0.65697,                0.91997,                 0.7586,                 1.5067,              0.0091585,              0.0091585,              0.0091585
                     87,                0.86257,                   1.18,                 1.3765,                0.87866,                0.85119,                0.91384,                0.66255,                0.92248,                0.72445,                 1.5148,              0.0091486,              0.0091486,              0.0091486
                     88,                 0.8531,                 1.1827,                 1.3695,                0.90191,                0.81962,                0.91137,                0.66873,                0.90538,                0.74059,                 1.4928,              0.0091387,              0.0091387,              0.0091387
                     89,                0.86315,                  1.184,                 1.3762,                 0.8342,                0.85656,                0.90888,                0.66706,                0.89216,                0.73071,                 1.4892,              0.0091288,              0.0091288,              0.0091288
                     90,                 0.8531,                 1.1639,                 1.3664,                0.87753,                0.84069,                0.91308,                0.66771,                 0.8876,                0.72932,                 1.4915,              0.0091189,              0.0091189,              0.0091189
                     91,                0.84266,                 1.1691,                 1.3587,                0.85716,                 0.8347,                0.89968,                0.66017,                0.92773,                0.73488,                 1.5178,               0.009109,               0.009109,               0.009109
                     92,                0.84916,                 1.1417,                 1.3655,                0.87933,                0.81403,                0.90197,                0.65684,                0.91183,                 0.7374,                 1.5014,              0.0090991,              0.0090991,              0.0090991
                     93,                0.85665,                 1.1543,                 1.3665,                0.80384,                0.87244,                0.89897,                0.65758,                 0.9217,                0.75214,                 1.5001,              0.0090892,              0.0090892,              0.0090892
                     94,                0.84137,                 1.1197,                 1.3584,                0.86295,                0.83814,                0.90698,                0.66447,                0.91485,                0.72655,                 1.5082,              0.0090793,              0.0090793,              0.0090793
                     95,                0.84234,                 1.1444,                 1.3576,                0.84374,                0.87092,                0.91138,                0.66731,                0.89459,                0.72087,                 1.4766,              0.0090694,              0.0090694,              0.0090694
                     96,                0.84228,                 1.1332,                 1.3557,                0.83919,                0.82181,                 0.8812,                0.64218,                 0.8892,                0.76788,                 1.4755,              0.0090595,              0.0090595,              0.0090595
                     97,                0.84288,                 1.1387,                 1.3636,                0.82829,                0.85365,                0.89766,                0.66079,                0.91448,                0.72947,                  1.515,              0.0090496,              0.0090496,              0.0090496
                     98,                0.82947,                 1.1201,                 1.3461,                 0.7899,                0.89133,                0.90334,                0.65664,                 0.9069,                0.75281,                 1.5135,              0.0090397,              0.0090397,              0.0090397
                     99,                0.84019,                 1.1269,                 1.3564,                0.86736,                0.86791,                0.91625,                0.68088,                0.86714,                0.69498,                 1.4597,              0.0090298,              0.0090298,              0.0090298
                    100,                0.83622,                 1.1362,                 1.3575,                0.86713,                  0.882,                 0.9184,                0.68696,                0.88536,                0.68957,                 1.4687,              0.0090199,              0.0090199,              0.0090199
                    101,                0.82432,                 1.1233,                 1.3444,                0.85827,                0.84573,                0.91034,                0.68471,                0.85833,                0.69686,                 1.4405,                0.00901,                0.00901,                0.00901
                    102,                0.82491,                 1.0996,                 1.3437,                0.87562,                  0.855,                0.92144,                 0.6777,                0.87794,                0.68419,                 1.4646,              0.0090001,              0.0090001,              0.0090001
                    103,                0.83152,                 1.1148,                 1.3487,                0.87483,                0.86281,                0.92225,                0.67898,                  0.912,                0.68406,                 1.4879,              0.0089902,              0.0089902,              0.0089902
                    104,                0.83097,                  1.084,                 1.3508,                0.85562,                0.86536,                0.91821,                 0.6815,                0.86551,                0.71585,                 1.4503,              0.0089803,              0.0089803,              0.0089803
