                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.53189,                0.58541,                 1.1054,                0.92012,                0.96039,                0.96738,                0.78347,                0.71513,                0.42689,                  1.355,               0.009208,               0.009208,               0.009208
                     82,                0.53897,                0.59499,                 1.1133,                0.95475,                0.92773,                0.95511,                0.76561,                0.70966,                0.46094,                 1.3349,              0.0091981,              0.0091981,              0.0091981
                     83,                 0.5361,                0.59394,                 1.1086,                0.93805,                 0.9534,                0.96905,                 0.8039,                0.69896,                0.43956,                  1.328,              0.0091882,              0.0091882,              0.0091882
                     84,                0.53146,                 0.5843,                 1.1053,                0.92499,                 0.9346,                0.96205,                0.78664,                0.70735,                0.44097,                 1.3415,              0.0091783,              0.0091783,              0.0091783
                     85,                0.53306,                0.59018,                 1.1083,                0.93646,                0.92092,                 0.9585,                0.77746,                0.71776,                0.45821,                 1.3489,              0.0091684,              0.0091684,              0.0091684
                     86,                0.53157,                0.59716,                 1.1042,                0.91027,                0.92546,                0.95499,                0.77966,                0.70491,                0.47459,                 1.3545,              0.0091585,              0.0091585,              0.0091585
                     87,                0.53258,                0.57652,                 1.1058,                0.95878,                 0.9592,                0.97171,                0.78756,                0.71495,                0.42015,                 1.3417,              0.0091486,              0.0091486,              0.0091486
                     88,                0.52095,                 0.5801,                 1.0988,                0.95172,                0.94054,                0.96757,                0.79926,                0.70133,                0.44598,                 1.3324,              0.0091387,              0.0091387,              0.0091387
                     89,                0.52015,                0.56695,                 1.0903,                0.94609,                0.95043,                 0.9671,                0.79448,                0.70487,                0.43771,                 1.3391,              0.0091288,              0.0091288,              0.0091288
                     90,                0.51262,                0.56992,                 1.0916,                0.92172,                0.96418,                0.96662,                0.78867,                0.69967,                0.44733,                 1.3284,              0.0091189,              0.0091189,              0.0091189
                     91,                0.51306,                0.56877,                 1.0909,                0.92814,                 0.9374,                0.95988,                 0.7759,                0.71533,                0.45714,                 1.3581,               0.009109,               0.009109,               0.009109
                     92,                0.51059,                0.55764,                 1.0923,                0.94003,                0.93905,                0.96215,                0.79125,                 0.6983,                0.45364,                 1.3176,              0.0090991,              0.0090991,              0.0090991
                     93,                0.51869,                0.56125,                 1.0951,                0.92986,                0.95113,                0.96272,                 0.7856,                0.73077,                0.42165,                 1.3674,              0.0090892,              0.0090892,              0.0090892
                     94,                0.50792,                0.54519,                 1.0894,                0.95213,                0.91187,                0.97045,                0.79894,                 0.7003,                0.42895,                 1.3455,              0.0090793,              0.0090793,              0.0090793
                     95,                0.50561,                0.55371,                 1.0899,                0.93498,                0.96905,                0.97087,                0.80043,                0.73176,                 0.4147,                 1.3553,              0.0090694,              0.0090694,              0.0090694
                     96,                0.50344,                0.55105,                  1.083,                0.94566,                0.94107,                0.96693,                 0.7772,                0.75461,                0.45165,                 1.4217,              0.0090595,              0.0090595,              0.0090595
                     97,                0.51279,                0.55835,                 1.0945,                 0.9315,                 0.9612,                0.96168,                0.78094,                 0.7185,                0.44187,                 1.3568,              0.0090496,              0.0090496,              0.0090496
                     98,                0.49642,                 0.5407,                 1.0833,                0.94747,                0.95574,                0.96336,                0.78576,                0.72923,                0.42963,                 1.3686,              0.0090397,              0.0090397,              0.0090397
                     99,                0.50729,                0.54291,                 1.0884,                0.95284,                0.93936,                0.96779,                0.78972,                0.70413,                0.42931,                 1.3282,              0.0090298,              0.0090298,              0.0090298
                    100,                0.50293,                0.55413,                 1.0857,                0.94501,                 0.9521,                 0.9658,                0.79769,                0.68972,                0.44146,                 1.3156,              0.0090199,              0.0090199,              0.0090199
                    101,                0.49178,                0.53996,                 1.0774,                0.92322,                0.95474,                0.95378,                0.79494,                0.69742,                0.45422,                 1.3344,                0.00901,                0.00901,                0.00901
                    102,                  0.503,                0.53633,                 1.0852,                0.92776,                0.95297,                0.96857,                0.79036,                0.71498,                0.42019,                 1.3574,              0.0090001,              0.0090001,              0.0090001
                    103,                0.50235,                0.53801,                 1.0829,                0.95501,                0.95763,                0.97071,                0.78957,                0.71052,                0.42374,                   1.32,              0.0089902,              0.0089902,              0.0089902
                    104,                0.49229,                0.53307,                 1.0817,                0.91023,                0.93122,                0.96345,                0.79586,                0.69254,                0.43685,                  1.322,              0.0089803,              0.0089803,              0.0089803
                    105,                0.48792,                0.52314,                 1.0759,                0.92984,                0.94203,                0.96859,                0.80014,                0.68588,                0.41711,                 1.3161,              0.0089704,              0.0089704,              0.0089704
                    106,                0.48487,                0.52577,                 1.0768,                0.92595,                0.92907,                0.95585,                0.78463,                0.69113,                0.44538,                 1.3311,              0.0089605,              0.0089605,              0.0089605
                    107,                 0.4893,                0.53602,                 1.0767,                0.94468,                0.95575,                0.97154,                0.79314,                0.70687,                0.40869,                 1.3522,              0.0089506,              0.0089506,              0.0089506
                    108,                0.48123,                0.52213,                 1.0716,                0.93126,                  0.947,                0.96754,                 0.7931,                0.69499,                0.43038,                 1.3325,              0.0089407,              0.0089407,              0.0089407
                    109,                0.48612,                0.53917,                  1.072,                0.93347,                 0.9261,                 0.9583,                0.79133,                0.69381,                0.42572,                 1.3383,              0.0089308,              0.0089308,              0.0089308
                    110,                0.49248,                 0.5275,                 1.0766,                0.91678,                0.95265,                0.96689,                0.79664,                0.70071,                0.40918,                 1.3474,              0.0089209,              0.0089209,              0.0089209
                    111,                0.48163,                0.51713,                 1.0702,                0.92319,                0.95287,                0.96525,                 0.7894,                0.70368,                0.41785,                   1.35,               0.008911,               0.008911,               0.008911
                    112,                0.48382,                0.51013,                 1.0657,                0.94235,                0.94576,                0.96885,                0.79075,                0.71224,                0.42524,                  1.345,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.4709,                0.51273,                 1.0643,                0.93941,                0.95143,                 0.9666,                0.79167,                0.70336,                0.41741,                 1.3388,              0.0088912,              0.0088912,              0.0088912
                    114,                0.47622,                0.51591,                 1.0721,                0.91235,                0.95164,                0.96493,                0.78963,                0.71913,                0.42344,                 1.3728,              0.0088813,              0.0088813,              0.0088813
                    115,                0.47536,                0.50436,                 1.0658,                0.94901,                  0.944,                0.96661,                0.79793,                0.69791,                0.40123,                 1.3491,              0.0088714,              0.0088714,              0.0088714
                    116,                0.47539,                0.51435,                 1.0649,                0.94494,                0.93448,                0.96879,                 0.7924,                0.71747,                0.40292,                 1.3792,              0.0088615,              0.0088615,              0.0088615
                    117,                0.48132,                0.50631,                 1.0695,                0.94623,                  0.943,                0.97064,                0.79438,                  0.714,                0.41911,                 1.3697,              0.0088516,              0.0088516,              0.0088516
                    118,                0.48025,                0.51596,                 1.0738,                 0.9397,                0.93895,                0.96851,                0.79408,                0.69433,                0.41328,                 1.3498,              0.0088417,              0.0088417,              0.0088417
                    119,                0.47421,                0.50821,                 1.0658,                0.92881,                0.93636,                0.96636,                0.79652,                0.68997,                0.44187,                  1.348,              0.0088318,              0.0088318,              0.0088318
                    120,                0.46378,                0.50207,                 1.0605,                0.93234,                0.94662,                0.96516,                0.79485,                0.68771,                0.41278,                 1.3499,              0.0088219,              0.0088219,              0.0088219
                    121,                0.47245,                0.50567,                 1.0665,                0.93232,                0.93516,                0.96571,                0.78893,                0.71051,                 0.4219,                 1.3692,               0.008812,               0.008812,               0.008812
                    122,                0.47189,                0.50082,                 1.0628,                0.94449,                0.92248,                0.96139,                 0.7925,                0.70639,                0.41733,                 1.3513,              0.0088021,              0.0088021,              0.0088021
                    123,                0.46597,                0.50028,                 1.0596,                0.93521,                0.95155,                0.96786,                0.80418,                  0.684,                0.39175,                 1.3405,              0.0087922,              0.0087922,              0.0087922
                    124,                0.46162,                0.49623,                  1.058,                0.92541,                0.94609,                0.96499,                0.78769,                0.69446,                0.41619,                 1.3602,              0.0087823,              0.0087823,              0.0087823
                    125,                0.45503,                0.48976,                  1.054,                0.94673,                0.93454,                0.96319,                0.79754,                0.66615,                0.42524,                 1.3104,              0.0087724,              0.0087724,              0.0087724
                    126,                0.46659,                0.49179,                 1.0616,                0.93565,                0.94606,                0.96155,                0.79743,                0.69005,                0.42296,                 1.3448,              0.0087625,              0.0087625,              0.0087625
                    127,                0.45674,                0.48049,                 1.0528,                0.93424,                0.95025,                0.96578,                0.78796,                0.70611,                0.42989,                 1.3684,              0.0087526,              0.0087526,              0.0087526
                    128,                0.44901,                0.49582,                 1.0512,                0.93999,                0.96061,                0.96333,                 0.7935,                0.68613,                0.41669,                 1.3372,              0.0087427,              0.0087427,              0.0087427
